Caption_Time2,Openness,IRT,Growth,CSE,CPI,Judges,DT,OpenBin,IRTBin,GrowthBin,CSEBin,CPIBin,JudgesBin,DTBin
the day I felt I was flying,4.14,3.5,4,4.33,3.67,3.5,12.41,3,2,2,3,2,2,3
'they always said that my big ears wouldn't be useful' -Dumbo,2,3.5,3.6,3.67,3,4.75,4.72,1,2,1,2,1,3,2
‘ Remember Me!',3.57,3.83,5,4.33,3.67,3.5,9.01,2,3,3,3,2,2,3
Jumpman,3.29,2.33,3.75,3,3.33,3.75,4.27,1,1,2,1,2,3,1
kobe,2.43,2.5,1.6,2.33,2.33,2.75,1,1,1,1,1,1,1,1
"Let's Dunk it, So Just Trunk it",3.86,4.5,3.6,4,3.67,3.5,7.63,2,3,1,2,2,2,2
Red bull gives you wings,4.14,4.17,4.4,3.67,3,5,,3,3,3,2,1,3,
( ?° ?? ?°),,,,,,3,7.05,,,,,,2,2
"]elephant using trunk to suck a ball,",2,3,3,3.67,3.33,3,12.79,1,1,1,2,2,2,3
"123AD Michael the elephant Jordan, from the free throw, dunks on some lil people and wrecks everyone. He had a 2000m run up from mars and had to fight aliens before this moment.",3.43,3,4.25,4,3.33,4.75,2.6,2,1,3,2,2,3,1
A Basketball Game,2.29,2.67,3,2,2.67,1,2.85,1,1,1,1,1,1,1
A bouncing elephant,2,3.67,3.8,4,3.33,2.25,6.6,1,2,2,2,2,1,2
a flamboant elephant enjoying some physical activity during the day with his friends supporting him,2,3,4.6,3.67,3.33,3.25,12.97,1,1,3,2,2,2,3
a fox watches as his friend the elephant slam dunks the basketball,3.14,3,3,3,3,1.75,2.5,1,1,1,1,1,1,1
A Friendly competition.,2.86,2.5,3,3,3.67,2.75,2.86,1,1,1,1,2,1,1
A frog and fox are watching a flying elephant to make a basket,3,1.83,3.4,2,2,2.25,4.67,1,1,1,1,1,1,2
aim for the sky doesn't matter if you fall short,3.71,3,4.2,4,4.33,5.25,1.8,2,1,3,2,3,3,1
Air Elephant,3,3,3,3,3,2,2.13,1,1,1,1,1,1,1
Air Elephant slamdunking on astounded foxes and frog,3,3,3,3,3,2,,1,1,1,1,1,1,
Air-lephant,4.43,4.33,4.2,4.33,2,4.5,4.53,3,3,3,3,1,3,1
airbourne,3,2.83,3.6,2.33,2.67,2.75,6.1,1,1,1,1,1,1,2
albino elephant,4.57,2.83,3.4,2.33,5,2.75,,3,1,1,1,3,1,
Albino flying elephant attempting to slam dunk while his two fellow mates watching on knowing he's going to fail and crash to the ground dying.,3.86,2.5,5,4.33,3,4,14.25,2,1,3,3,1,3,3
amazing elephant plays basketball - many are shocked,3.14,3.17,3.8,3.33,3,2.5,13.08,1,2,2,2,1,1,3
amazing elephent takes the front page of the news paper,3.57,3,3.8,4,3.33,3,2.75,2,1,2,2,2,2,1
Amazment,3.71,2.83,3.5,3,3,2,12.2,2,1,1,1,1,1,3
an earthquake in the making,3.29,2.83,3.2,3,2.67,5,3.36,1,1,1,1,1,3,1
an eccentric elephant with his head in the clouds,3.86,3.33,3.8,4.33,4,3.75,12.87,2,2,2,3,3,3,3
an elaphante becoming number 1,3.57,1.5,3.4,4,2.33,2.75,6.42,2,1,1,2,1,1,2
an elephant at its best ability enjoying what it likes best showing his friends his ability,4.5,3.5,3.6,5,4.67,3,3.1,3,2,1,3,3,2,1
An elephant defying the odds in basketball,2,3,3,4,3,3,10.35,1,1,1,2,1,2,3
Angel beats the devil,4.14,3.83,4,4.33,4.33,3.25,4.4,3,3,2,3,3,2,1
Animal Dunk,2,,4.8,4,3.33,2.5,5.89,1,,3,2,2,1,2
Animal Dunk Contest,2,3,3,3,3,2.75,4.56,1,1,1,1,1,1,1
animal kingdom at its best,4.14,4.5,3.4,3,3,3.25,,3,3,1,1,1,2,
animals,2,2,3.8,2,2.67,1,,1,1,2,1,1,1,
Animals chillaxing,3.14,2.33,2.8,3.67,3.33,2.75,6.62,1,1,1,2,2,1,2
Animals escapes the zoo and elephant slam dunks into,3.71,4.33,4,3.33,3,2.5,2.89,2,3,2,2,1,1,1
animals games,3.17,1.83,3,2.33,3.67,2.75,6.91,1,1,1,1,2,1,2
animals playing basket ball hardcore game of basket ball when elephant dunkes it,4.29,2,4,5,3.67,3.25,3.6,3,1,2,3,2,2,1
Animals take over basketball,2,3.33,4,3.33,3,2.25,16.32,1,2,2,2,1,1,3
"Anyone can succeed, if they believe",3.57,2.67,4,3,2.33,4.5,,2,1,2,1,1,3,
As peanuts the elephants dunks from the 3 point line over toad and foxy lady the clouds go wild with applause.,4.71,3.67,4.6,4.33,4.67,4,9.59,3,2,3,3,3,3,3
Athletic elephant maximises trunk,3.43,2.83,3,3,1.67,3,13.05,2,1,1,1,1,2,3
BALL IS LIFE!!!,3.43,3.5,3,3,3,3,4.86,2,2,1,1,1,2,2
basket ball elephant,3.71,4,3.4,4,3.67,1,4.48,2,3,1,2,2,1,1
Basket balling Elephant and his two adoring fans,2,4.83,4.6,5,5,2.25,6.51,1,3,3,3,3,1,2
Basketball,3,3,2.4,2.33,2,1,3.95,1,1,1,1,1,1,1
basketball ball with Jennifer the elephant and her friends!!!!:),3.43,2.33,3.8,3.33,3,3,7.71,2,1,2,2,1,2,2
basketball beasts,2,4.5,4.6,5,4.67,3.5,11.7,1,3,3,3,3,2,3
Basketball day out,3.57,3.83,4.8,3.33,2.67,2,5.78,2,3,3,2,1,1,2
basketball elephant,3.57,3.17,3.8,3,3,1,12.79,2,2,2,1,1,1,3
Basketball with friends,2,2.67,3.2,4,1.67,1.5,4.63,1,1,1,2,1,1,2
Bastkelephant,4.29,3.5,4.6,3.33,3.33,4,,3,2,3,2,2,3,
Believe in yourself!,3,2.67,,3.33,2.33,4,10.23,1,1,,2,1,3,3
"Big Ears Big Basketball Adventure  Or I Belive I Can Fly or  The Sky is blue, but all I want to do is hoops.",4.57,3.67,5,5,3,4.5,6.64,3,2,3,3,1,3,2
big ears dunking and trunking,3.71,4.33,4.6,,4.67,4,,2,3,3,,3,3,
Big sensei elephant just rekt u little fox scrub,3.29,1.67,3.6,3.67,2.67,4.5,12.2,1,1,1,2,1,3,3
breaking news: several children ranging from ages 3-10 have been killed in their local park by raging animals taking over our sport.,4.57,4,4.2,5,3.67,5.5,,3,3,3,3,2,3,
Can a white elephant do a dunk?,3.29,4.17,4.6,4.33,3.33,2.75,11.88,1,3,3,3,2,1,3
carmelo elephantly,3.71,3.83,3.8,3,3.33,3.75,1,2,3,2,1,2,3,1
Come fly with me,3.57,2.5,3.6,3.67,3.33,3.5,5.2,2,1,1,2,2,2,2
Dank Buckets,4.29,1,1.4,2.33,2.33,3.5,,3,1,1,1,1,2,
Did you know elephants could fly?,4.57,,,4.33,5,4.5,13.08,3,,,3,3,3,3
Dirty Mike's crew plays basketball,3.71,2,3,3,3,3.25,2.25,2,1,1,1,1,2,1
don't give up on your dreams kids,4.29,2.83,4.8,3,3,3.75,9.43,3,1,3,1,1,3,3
Don't let people judge you if it's what you love,4.14,3.67,3.8,4,3,5,5.67,3,2,2,2,1,3,2
Dumbo Dunks,3.86,4.17,3.8,4,3,3.5,9.55,2,3,2,2,1,2,3
Dumbo Dunks Again,4.14,3.83,4.4,3.67,2.33,3,6.86,3,3,3,2,1,2,2
Dumbo learns that ball is life,3.29,2.83,4.2,3.67,3.67,3.75,13.59,1,1,3,2,2,3,3
Dumbo makes his competitors Ele-faint.,,,,,,5.75,,,,,,,3,
Dumbo Shoots,2,3.67,4,4.33,3.33,1.75,5.45,1,2,2,3,2,1,2
Dumbo vs the team of pets at a game of dunckfall (dunking of a basketball),3.86,3,4,3.67,3.67,4,12.75,2,1,2,2,2,3,3
dumbows attemt to fly,2,3.5,4.6,4,3.33,3.25,9.44,1,2,3,2,2,2,3
Dunk of the Elephant,3.86,3.5,4,3.33,3.33,2.5,1.85,2,2,2,2,2,1,1
"Dunkin' Duffy, the basket balling elephant",4.29,4.17,4,,4.67,3.25,4.93,3,3,2,,3,2,2
dunking,4.43,4,3.6,4,3.33,1.25,,3,3,1,2,2,1,
Dunking Dabbing and being an elephant,3.14,3.5,3.4,3,2.67,3.75,4.85,1,2,1,1,1,3,2
dunking with fox and frog,3.86,4,5,3,3.33,1.75,,2,3,3,1,2,1,
Dunks With Trunks,4.86,3.67,2.8,5,3.67,3.25,6.38,3,2,1,3,2,2,2
Dwayne King elephant style,3.43,3,3,3,3,2.75,,2,1,1,1,1,1,
Eddie's first dunk.,3.71,3.5,3.6,3,2.67,3,4.83,2,2,1,1,1,2,2
effort = result,3.86,2.83,4.2,4.33,2.33,3.5,1.67,2,1,3,3,1,2,1
Ele',4.14,3.83,5,4.33,4.33,1.5,6.25,3,3,3,3,3,1,2
elephant and the basketball,3.43,2.67,3,4,3.33,1.25,3.1,2,1,1,2,2,1,1
Elephant attempts to be Michael Jordan while a balloon with legs and a fox watch,3.43,2.67,3.2,4,4,3.5,13.88,2,1,1,2,3,2,3
elephant basketball,3.29,2.33,3,1,1.67,1,1.3,1,1,1,1,1,1,1
Elephant Dunker!,4.14,3.5,4,4,3.67,2,3.88,3,2,2,2,2,1,1
"Elephant dunking on fox, whilst putting frog on skates",2,3.5,3,3,1.67,2.75,9.96,1,2,1,1,1,1,3
elephant dunking the basketball in the hoop while frog and fox is watching him. he is pretty fat but he still try to dunk the ball,4.29,3.17,2.6,3.33,2.67,3.75,,3,2,1,2,1,3,
Elephant impresses his peers,3.83,2.83,4.2,4,3,2.75,4.18,2,1,3,2,1,1,1
Elephant Jordan,4.71,4.83,4.4,4.67,3,3.25,8.4,3,3,3,3,1,2,2
elephant learnt to dunk a ball to impress his friends,3.86,3.5,4.2,3.33,3,3,3.63,2,2,3,2,1,2,1
Elephant of the year,2.57,3,4,3.67,3,2.75,5.32,1,1,2,2,1,1,2
Elephant playing basketball,4.14,3.83,3.8,3,3,1,,3,3,2,1,1,1,
elephant playing bball,3.29,3,2.6,3,3,1,,1,1,1,1,1,1,
Elephant slam dunking with a fox and a thing that I think is a guinea pig watching.,3.86,2,3.6,3,2,2.25,1.67,2,1,1,1,1,1,1
Elephant takes courageous leap,2,3.83,4,3,2.67,2.75,,1,3,2,1,1,1,
Elephant v dog B-Ball,3.86,3.33,4,4,3.67,3,3.66,2,2,2,2,2,2,1
ELi G dunks the B,4.43,4.17,3,4.33,3,4,,3,3,1,3,1,3,
Ellie the Elephant saves the world one basketball at a time,2,3,3,3,3,4,9.28,1,1,1,1,1,3,3
"Ellie the elephant, Her greatest leap of faith !",3,2.67,4,3.67,4,4,4.09,1,1,2,2,3,3,1
Ellie the elephant's  big day out,3.57,2.67,4,4,3.33,3,5.91,2,1,2,2,2,2,2
"Ellie the fat albino elephant and her friends, Foxy and Froggy",4.29,3.33,4,3.33,2.33,2.75,10.19,3,2,2,2,1,1,3
Elphe's Slam Dunk,4.29,5,3.4,4,3.33,2.75,2.95,3,3,1,2,2,1,1
elphie tries...,3.71,3,3,3,3,3.25,14.17,2,1,1,1,1,2,3
"epic basketball game between a very pale elephant , a luscious fox and a very round frog",4.57,4,4.4,4.33,4,3.5,14.39,3,3,3,3,3,2,3
Escape From Zoo,4.71,3,3,4,4.33,4.25,6.49,3,1,1,2,3,3,2
even teams,2,3,2.8,4,2.67,3.25,4.96,1,1,1,2,1,2,2
"Exercise, no matter how heavy you are",3.43,2.5,3,5,4.67,4.5,7.73,2,1,1,3,3,3,2
exploring a strange place,3.29,3.33,3,4.33,3.33,3.5,1.75,1,2,1,3,2,2,1
fat elephant faceplants,2.86,2.83,4,,3,3.75,3.03,1,1,2,,1,3,1
Flight of the beasties,2,3.17,4.4,4.67,5,3.75,10.31,1,2,3,3,3,3,3
fly elephant fly,2.71,3,3.8,3,3.67,2.5,5.96,1,1,2,1,2,1,2
Flyball,4.57,4.5,4,4.33,3.67,3,10.55,3,3,2,3,2,2,3
Flying elephant,2,,,4.33,3.67,1.67,,1,,,3,2,1,
Flying Elephant flooring it through the hoop,2.86,3,3,3,3,3.5,11.17,1,1,1,1,1,2,3
Flying elephant gate-crashes live basketball match while fox and frog watch on!,4.14,2.67,2.8,5,5,3.5,15.37,3,1,1,3,3,2,3
Flying Pink Elephants and Staring Snails,3.86,3.83,4.2,4.67,5,2.5,13.98,2,3,3,3,3,1,3
"Flying, Athletic Elephant",2,4,3.8,3.67,4.67,1.25,5.62,1,3,2,2,3,1,2
Forest Dunk,4.29,3.5,4.2,2.67,1.67,2.75,7.77,3,2,3,1,1,1,2
Forrest Creek Animals Basketball Team,,,,,,3.5,4.95,,,,,,2,2
Fox gets dunked on by white elephant,3,2.33,2.4,3.33,3.33,2.25,,1,1,1,2,2,1,
Foxy and Froggy become jealous of Elly the Elephant.,3.29,2.33,3.8,4,3.67,3,9.97,1,1,2,2,2,2,3
Fun with Friends!,2,2.83,4,3.67,3.67,2.5,12.32,1,1,2,2,2,1,3
George's basket ball team,,,,,,2.5,5.52,,,,,,1,2
goal dreaming,3.43,3.67,4,3,3,2.75,11.84,2,2,2,1,1,1,3
Happy Elephant slams dunk with his trunk while his animal friends watch in astonishment.,3.71,2,4.4,3,4,3.25,2.25,2,1,3,1,3,2,1
he dunks a goal as the fox and frog watch on.,3.29,3,3,3.67,3,1.5,4.78,1,1,1,2,1,1,2
Hebron goes ham,3.86,,,,,3.5,4.28,2,,,,,2,1
"Here comes the BOOM, animal style",3.57,3.4,5,3,3,4.75,9.3,2,2,3,1,1,3,3
High Flier,4.43,4.33,5,3.67,3.67,3.25,9.98,3,3,3,2,2,2,3
How to dunk like an elephant,3.57,3.67,4.4,4,4.67,2.75,5.33,2,2,3,2,3,1,2
I believe I can fly~ I believe I can touch the ring...,3.86,3,2.8,5,3.33,5,3.56,2,1,1,3,2,3,1
if Michael Jordan was an animal,2.57,2,4.8,2.33,2.33,3.75,6.01,1,1,3,1,1,3,2
inter zoo basketball practice,3,,4,2.67,2.67,3.5,12.65,1,,2,1,1,2,3
It's Game Time,2,3.67,4.2,4,2.67,3,2.87,1,2,3,2,1,2,1
Jump Elephant,2,4,4.2,4,3.67,1,5.26,1,3,3,2,2,1,2
Jump Shoots,4.14,2.83,4,3.67,2.33,1.75,3.5,3,1,2,2,1,1,1
Kobe,4.57,1.67,3.8,4.33,4,3.25,2.5,3,1,2,3,3,2,1
Kobe 'Elephant' Bryant,4.71,4.67,4,4.33,4,3,4.82,3,3,2,3,3,2,2
Lebronphant,3.14,3,3.8,4,3.33,5,4.33,1,1,2,2,2,3,1
life should be colorful!,4.43,4,4.4,4.67,5,3.5,11.71,3,3,3,3,3,2,3
Local trouble makers resort to balling as number of cops patrolling increases.,4.14,3.83,3.8,3.33,2,4.25,,3,3,2,2,1,3,
Looks like MJ from the bulls. great vert. great jump. great dunk,2,1.5,3.6,4.33,3.67,3.75,3.2,1,1,1,3,2,3,1
M.J. 2.0,2,4,3.2,3.33,2.67,3.25,4,1,3,1,2,1,2,1
Magic Johnsons perfect weekend,3.5,4,4.6,3,3,3.5,1.75,2,3,3,1,1,2,1
magical trunk,3.71,4,3.8,3,3,2.75,,2,3,2,1,1,1,
Michael Jordan,3,2.83,4.2,2,2.33,2.75,11.06,1,1,3,1,1,1,3
Michaelephant Jordan,4.57,3.17,3.2,4.33,2.67,3.5,8.45,3,2,1,3,1,2,2
mj dunking,3,2.83,2.25,2,2.67,3,3.2,1,1,1,1,1,2,1
mj is back boys,,,,,,3.25,3.7,,,,,,2,1
NABA (National Animal Basketball Association) superstar the 'elephant' wins the 2016 dunk contest beating fellow competitors the fox and frog in a tight co,3.43,2.5,3.8,3,2.33,5.25,4,2,1,2,1,1,3,1
NBA of the Animal Kingdom,3.71,3,4,3,4,3.75,4.29,2,1,2,1,3,3,1
New NBA star,4.33,4.17,4.6,5,3.33,3.25,3.48,3,3,3,3,2,2,1
nothing,3.86,1.17,2.6,1.67,2.67,1.75,,2,1,1,1,1,1,
oh no I'm about to fall on my face and die,3.71,2.5,2.8,3.67,4,4.25,11.66,2,1,1,2,3,3,3
operation air jumbo dunk.,3.71,3.83,4.4,4.33,3.33,4.25,8.78,2,3,3,3,2,3,2
Pairs of eyes watch as the albino elephant goes for a superman dunk,2,2.5,4.4,4.33,4.33,3.5,2.55,1,1,3,3,3,2,1
Pig flying dunker,3.86,3.83,4,4,3.67,2.25,13.89,2,3,2,2,2,1,3
Pigs can fly,2.71,2.5,4.2,2,3.33,2,1.83,1,1,3,1,2,1,1
Pinky dunks 420 mate,3.57,2.83,2,3,1,3.75,2.07,2,1,1,1,1,3,1
playing basketball with a  elephant,3.14,2.83,3.8,2.33,2.67,2.25,3.35,1,1,2,1,1,1,1
Progress,4.29,3.67,4.8,4.33,3.67,3.5,10.38,3,2,3,3,2,2,3
Shaquille O'neal takes on local kids in Bball brawl,4.14,3,5,,4.67,4,14.42,3,1,3,,3,3,3
Shooting Trunks,3.86,3.5,3.6,3.67,3.33,3.5,12.18,2,2,1,2,2,2,3
Shot Clock Chese,3.29,3,3,3,3,3,5.13,1,1,1,1,1,2,2
Shots,3.71,1.67,4,3,2.67,2,7.49,2,1,2,1,1,1,2
Slam Dunk Dumbo,3.86,3.67,4.8,3.33,2.33,3.5,16.6,2,2,3,2,1,2,3
slam dunk!,4.71,1.67,5,4.33,3.67,2,,3,1,3,3,2,1,
slam trunk,3.43,4.5,4.4,3,3,2.75,11.97,2,3,3,1,1,1,3
Slam Trunk,2,2.17,3.4,3.67,3.33,3.25,9.48,1,1,1,2,2,2,3
Stephen Curry dunks over Lebron in Playoff Finals,4.5,3.5,2,1,2,3.75,1.85,3,2,1,1,1,3,1
"that guy, he's fly  that big guy, he can fly",4.43,3.33,4.2,3.67,3.67,3.25,13.99,3,2,3,2,2,2,3
the amazing elephant shooting hoops,2,3.4,4.4,3,2.67,2.25,8.97,1,2,3,1,1,1,3
The Animal Sports Contest,4.43,4.33,2.2,3.67,3,3.25,1.47,3,3,1,2,1,2,1
The appreciation joy in awe,4.71,3.5,4.4,5,4,2.75,15.98,3,2,3,3,3,1,3
The Basketball that had Wings and Took the Elephant and his friends for a ride through the sky,4.17,3.67,3.6,5,4,3.5,14.34,3,2,1,3,3,2,3
the best elephant,3.71,4,3.4,4,3.67,2,2.5,2,3,1,2,2,1,1
The day we flied,4.14,3.67,4,3.67,3,2.75,7.05,3,2,2,2,1,1,2
The delusional imagination of Foxy the Elephant,3.86,3.83,5,4.33,3,5,6.02,2,3,3,3,1,3,2
the dunking trunk,2,3.5,3.4,3.67,2.67,3.75,,1,2,1,2,1,3,
The elepant who slam dunks over a squating frog and a horny fox.,2,5,3,5,5,3.5,,1,3,1,3,3,2,
the elephant is playing basket ball their is something in the back ground the elephant can fly because of its,2,3.5,3,4,2.67,1.75,6.16,1,2,1,2,1,1,2
The Elephant Shoots and Scores!,3.29,2.17,4.6,5,5,2.5,7.91,1,1,3,3,3,1,2
the elephant that finally manages to become an NBA star,3.43,,4,3,3,3.75,8.44,2,,2,1,1,3,2
The Elephant that jumps over the strand of grass,3.57,4.17,3.2,1,2.33,3.5,8.05,2,3,1,1,1,2,2
The Elephant that plays ball,3,3,4.2,3,2.33,1.25,4.27,1,1,3,1,1,1,1
The Elephant Trunk-a-Dunk,3.57,2,4.2,3.33,4.67,3.5,6.3,2,1,3,2,3,2,2
The Elephant who is brilliant at slam dunking,4.14,4,4.4,3.67,4.33,1.75,12.31,3,3,3,2,3,1,3
The elephants day at the park,4.67,4.67,4.8,4.67,4.67,3,6.84,3,3,3,3,3,2,2
The Elephants Game,2,4.33,3.8,4.33,4,2.75,,1,3,2,3,3,1,
the fat elephant dunking the b ball,2.57,3.17,2.8,3,3.33,2,5.03,1,2,1,1,2,1,2
The flying basketball elephant,3.43,2.33,3.8,3,3,1.5,7.01,2,1,2,1,1,1,2
The flying elephant with the ball in the wonderful forrest,3,2.67,2.8,3,3.33,2,,1,1,1,1,2,1,
the forest creek basketball showdown,,,,,,2,,,,,,,1,
"The fox and the beetle looking frog watched in awe as Dumbo the flying elephant soared through the air gracefully to deliver the slam-dunk of the season! The worm and the snail also recorded the dunk and sent it to World star hip-hop, as a video clip. After the dunk was delivered the Albino elephant performed a wonderful DAB.",4.43,4.67,3.6,,4.33,4.5,9.83,3,3,1,,3,3,3
The Friends Play basketball,4.43,3.83,4,4,4,2.25,5.75,3,3,2,2,3,1,2
The Gracious Leap of Faith,4.57,3.67,4.6,4.67,4.33,3.75,4.76,3,2,3,3,3,3,2
The hidden basketball skill in animals,2,4.17,4.2,4,4,3.5,2.92,1,3,3,2,3,2,1
The hip hop scoring elephant,4.29,3.67,4,4.67,4.33,2.5,12.42,3,2,2,3,3,1,3
the incredible elephant slam dunks whilst the fox and frog look on in admiration,4.43,4.67,4.8,4.33,3.67,2,9.11,3,3,3,3,2,1,3
the jumping elephant,3,2.5,3.8,3,2.67,2.25,3.25,1,1,2,1,1,1,1
The last Photo of proof there was a basket on that tree.,3.71,3,3.2,4.33,3.67,3.5,6.83,2,1,1,3,2,2,2
the little imagination world of us three.,3.71,2.67,3.4,3.67,3,4,5.2,2,1,1,2,1,3,2
the show nose,1,4.83,4.6,5,3.67,3.25,15.37,1,3,3,3,2,2,3
"the suprising, Shooting Star",2,3.67,4.2,4,3,4,6.73,1,2,3,2,1,3,2
The Trunk Dunk,3.57,2.5,4.4,4,3,3,13.18,2,1,3,2,1,2,3
the very first ever basketball shooting elephant with is fox and frog friends!,3,3.67,3,4,3.33,2,8.44,1,2,1,2,2,1,2
The white elephants triumphant dunk,4.43,3.67,4.4,2.33,3,2.75,7.91,3,2,3,1,1,1,2
The White Persistent Elephant,3.86,2.83,3.2,2.67,3,3.75,2.7,2,1,1,1,1,3,1
Trunk Dunk Wins Game!,4.71,4,4.6,4.33,3.67,4.5,14.11,3,3,3,3,2,3,3
Trunking a ball,3.43,3.33,4.2,4,3.67,2.5,10.51,2,2,3,2,2,1,3
trunks for dunks,3.29,2,3.8,3,3,3.25,6.69,1,1,2,1,1,2,2
watch and be inspired,3.5,,,,,2.5,4.29,2,,,,,1,1
"We all watch in awe as we see what others can do, mean whilst we do not see what potential we hold within ourselves.",4.29,4.83,3.6,4,2.67,5.5,11.69,3,3,1,2,1,3,3
"wether you are a fox, frog or elephant, anything is possible",2,3.17,4.2,4,3.67,3.25,4.57,1,2,3,2,2,2,1
wh,4.43,2.83,4.4,4,4.33,1,6.29,3,1,3,2,3,1,2
When elephants dunk...,3.86,3.83,3.6,3.33,3,1.75,4.18,2,3,1,2,1,1,1
Who said Steph curry was an outcast,3.14,2.5,3,3,3,3.25,9.3,1,1,1,1,1,2,3
you can do anything,3.43,1.17,3.2,3.33,3,3.75,3.63,2,1,1,2,1,3,1
young baller dunks in da hoop  or  to dunk or not to dunk,3.71,4.33,3.8,3.33,2.67,3.75,2.96,2,3,2,2,1,3,1